frame,total_vehicles,cars,motorcycles,buses,trucks,bicycles,people,total_detections
frame_0.jpg,33,25,1,5,2,0,0,33
frame_10.jpg,34,24,0,9,1,0,2,36
frame_100.jpg,34,29,0,5,0,0,1,35
frame_1000.jpg,21,17,0,4,0,0,1,22
frame_1004.jpg,23,17,0,6,0,0,1,24
frame_1008.jpg,28,19,0,8,1,0,1,29
frame_1012.jpg,27,18,0,8,1,0,1,28
frame_1016.jpg,26,19,0,6,1,0,1,27
frame_1020.jpg,30,23,0,6,1,0,1,31
frame_1024.jpg,26,20,0,5,1,0,0,26
frame_1028.jpg,25,18,0,6,1,0,1,26
frame_1032.jpg,26,19,0,6,1,0,0,26
frame_1036.jpg,26,21,0,4,1,0,0,26
frame_104.jpg,41,32,1,4,4,0,0,41
frame_1040.jpg,28,23,0,4,1,0,0,28
frame_1044.jpg,28,22,0,6,0,0,0,28
frame_1048.jpg,31,23,0,6,2,0,0,31
frame_1052.jpg,31,24,0,6,1,0,1,32
frame_1056.jpg,31,25,1,4,1,0,1,32
frame_1060.jpg,36,30,0,5,1,0,2,38
frame_1064.jpg,28,24,0,4,0,0,0,28
frame_1068.jpg,30,26,1,3,0,0,1,31
frame_1072.jpg,31,24,2,5,0,0,0,31
frame_1076.jpg,34,27,1,5,1,0,1,35
frame_108.jpg,34,27,0,5,2,0,1,35
frame_1080.jpg,27,25,0,2,0,0,2,29
frame_1084.jpg,28,24,1,3,0,0,1,29
frame_1088.jpg,25,22,1,2,0,0,0,25
frame_1092.jpg,28,25,1,2,0,0,0,28
frame_1096.jpg,27,23,0,3,1,0,0,27
frame_1100.jpg,41,29,2,8,2,0,2,43
frame_11000.jpg,32,20,0,11,1,0,1,33
frame_11004.jpg,31,19,0,11,1,0,1,32
frame_11008.jpg,32,20,0,11,1,0,0,32
frame_11012.jpg,32,20,0,11,1,0,1,33
frame_11016.jpg,32,17,0,14,1,0,0,32
frame_11020.jpg,28,14,0,13,1,0,1,29
frame_11024.jpg,32,17,0,14,1,0,1,33
frame_11028.jpg,36,23,0,12,1,0,1,37
frame_11032.jpg,32,19,0,12,1,0,1,33
frame_11036.jpg,33,16,0,16,1,0,1,34
frame_1104.jpg,42,29,2,8,3,0,2,44
frame_11040.jpg,30,13,1,15,1,0,1,31
frame_11044.jpg,28,18,0,9,1,0,2,30
frame_11048.jpg,29,17,1,10,1,0,2,31
frame_11052.jpg,30,18,0,11,1,0,1,31
frame_11056.jpg,30,19,1,9,1,0,2,32
frame_11060.jpg,28,17,0,10,1,0,4,32
frame_11064.jpg,30,19,1,9,1,0,3,33
frame_11068.jpg,29,21,0,8,0,0,3,32
frame_11072.jpg,28,17,0,10,1,0,1,29
frame_11076.jpg,28,18,0,10,0,0,2,30
frame_1108.jpg,38,30,1,5,2,0,3,41
frame_11080.jpg,29,19,0,10,0,0,3,32
frame_11084.jpg,35,26,0,9,0,0,2,37
frame_11088.jpg,36,25,1,10,0,0,1,37
frame_11092.jpg,43,29,1,12,1,0,1,44
frame_11096.jpg,39,29,1,9,0,0,1,40
frame_11100.jpg,35,27,1,7,0,0,1,36
frame_11104.jpg,35,24,1,10,0,0,1,36
frame_11108.jpg,35,24,1,10,0,0,1,36
frame_11112.jpg,32,21,0,10,1,0,0,32
frame_11116.jpg,33,20,0,13,0,0,0,33
frame_1112.jpg,42,30,1,7,4,0,1,43
frame_11120.jpg,34,24,0,10,0,0,1,35
frame_11124.jpg,35,25,0,10,0,0,1,36
frame_11128.jpg,31,22,0,9,0,0,0,31
frame_11132.jpg,30,21,0,9,0,0,1,31
frame_11136.jpg,30,23,0,7,0,0,1,31
frame_11140.jpg,33,26,0,7,0,0,1,34
frame_11144.jpg,30,21,0,8,1,0,1,31
frame_11148.jpg,35,27,1,7,0,0,2,37
frame_11152.jpg,34,24,1,9,0,0,1,35
frame_11156.jpg,38,29,0,8,1,0,1,39
frame_1116.jpg,38,28,0,7,3,0,1,39
frame_11160.jpg,35,25,1,8,1,0,1,36
frame_11164.jpg,36,25,0,10,1,0,1,37
frame_11168.jpg,33,22,0,11,0,0,1,34
frame_11172.jpg,35,23,0,12,0,0,1,36
frame_11176.jpg,37,28,0,9,0,0,1,38
frame_11180.jpg,37,29,0,8,0,0,1,38
